0,236
1,184
2,184
3,179
4,179
5,150
6,150
7,150
8,150
9,150
10,149
11,149
12,146
13,133
14,133
15,133
16,133
17,133
18,133
19,133
20,133
21,133
22,133
23,133
24,133
25,133
26,133
27,133
28,133
29,133
30,133
31,133
32,133
33,133
34,133
35,133
36,133
37,133
38,133
39,133
40,133
41,133
42,133
43,133
44,133
45,129
46,129
47,129
48,129
49,129
50,129
51,129
52,129
53,127
54,127
55,127
56,127
57,127
58,127
59,127
60,127
61,127
62,127
63,127
64,127
65,127
66,127
67,127
68,127
69,127
70,127
71,124
72,124
73,124
74,124
75,124
76,124
77,124
78,124
79,124
80,124
81,124
82,124
83,124
84,124
85,124
86,124
87,124
88,124
89,124
90,124
91,124
92,124
93,124
94,124
95,124
96,124
97,124
98,124
99,124
100,124
101,124
102,124
103,124
104,124
105,124
106,124
107,124
108,124
109,124
110,124
111,124
112,124
113,124
114,124
115,124
116,124
117,124
118,124
119,124
120,124
121,124
122,124
123,124
124,124
125,124
126,124
127,124
128,121
129,121
130,121
131,121
132,121
133,121
134,121
135,121
136,121
137,121
138,121
139,121
140,121
141,121
142,121
143,121
144,121
145,121
146,121
147,121
148,121
149,121
